,true,AFP,GAT,MPNN,DNN,RF,SVR
0,1.611626262,1.9231539,2.0871177,1.891133119404052,1.6071448,1.7881442229856321,1.7115608978638743
1,1.924011387,2.0553377,2.9940474,2.102507892117691,1.8841803,1.93359506762689,2.0242104415095223
2,1.793378211,1.8152095,1.8461627,1.6102109608008601,1.7377063,1.7725953269402794,1.7445243462628848
3,2.406205105,2.4921877,2.6584375,2.395920810800822,2.5749779,2.4836621623670316,2.3064697472954783
4,2.575524985,2.6344619,2.4253647,2.4627827374004334,2.7619905,2.424413339542773,2.475456197565484
5,1.491494465,1.385768,1.7004669,1.5221931688856438,1.6512302,1.544657386388632,1.5530413254184285
6,2.379425047,2.233452,2.6774864,2.524007125161028,2.2286448,2.4281312387678606,2.479439357810778
7,4.193280471,4.5673733,3.4011114,4.337685614448356,4.361516,3.5908672070807155,3.572989593576672
8,1.568680157,1.5466976,2.6148639,1.9259677425265718,1.5320284,2.08685646348386,1.66830770661814
9,1.578885386,1.4027864,1.7820077,1.4397654000243465,1.6592276,1.5646804577199116,1.478753328612357
10,1.364006386,1.3307767,2.668569,2.006737383138712,1.4139305,1.7036881410103972,1.5332237400397166
11,1.462881443,1.7945914,2.1956117,2.0563829882297053,1.5844072,1.9437918659828817,1.6822909720205343
12,2.924776487,3.2056737,3.3878849,2.761307623044536,2.9633965,2.9382776470755716,2.8245002701421535
13,2.158094799,2.0700998,1.8635802,1.6794243435330012,2.2628431,1.9344660600489838,1.7104673600718283
14,1.811674285,1.8247967,1.7721944,1.9638529068729138,1.8382403,2.040680937592678,2.184421621279995
15,2.501247468,2.3391492,2.3479254,2.705869592547257,2.4954185,2.2760321394156833,2.49492418371999
16,3.051405371,2.799265,3.201767,3.2159797375686576,3.3291106,3.055676398202681,2.9511326387628873
17,3.685079186,2.9800537,2.9340863,3.283097404973666,3.508058,3.131009264876869,3.584813781773814
18,2.264589774,2.3777592,2.943828,2.1187286470556055,2.2572699,2.286847310591081,2.2964829187979987
19,2.581464049,2.6169624,2.4564993,2.5921413472525967,2.453578,2.606204807688981,2.5752445446976653
20,2.550763973,2.3861682,2.5811815,2.637615460808513,2.5368414,2.3936617368059063,2.457164503864763
21,2.444020336,2.2216206,2.3255935,2.580426807067286,2.5612946,2.356951174236413,2.5262982533796965
22,3.752823103,3.7210243,3.5945742,3.7904243212699917,3.8749266,3.452569317669283,3.7864991415599807
23,2.826515356,2.7466192,2.3972824,2.816429429323246,2.7870002,2.9535104425226666,2.727093338810523
24,2.33293262,2.0138173,2.0773516,1.8014358854602706,2.3572125,2.0026822458560063,2.0248742333580525
25,2.686748254,2.5831218,2.4691288,2.4080481729056484,2.5414367,2.647905431535111,2.586540596203812
26,3.151563131,2.9640155,2.4410474,2.9564487059221918,3.2307339,2.724441169895818,2.2543464129456092
27,2.315505149,2.2741969,2.8203743,2.5863359607642384,2.5093942,2.442673661290454,2.4155123695107323
28,1.765960178,1.5868065,2.3780448,1.9026348098193253,1.7568289,1.8499931707536683,1.866315117078053
29,3.128920013,2.7297246,3.076495,2.9115436100532692,3.1541495,3.0675582736015383,3.1339145050390202
30,2.774590978,2.7287698,2.4702516,2.276781004442281,2.8449836,2.5469998985924356,2.6742316687219474
31,1.318516557,1.5776925,1.8649707,1.8853605938409483,1.4102411,1.6288121930567179,1.4188264410754439
32,3.452962319,3.470625,3.3264167,3.1744787717161014,3.5965614,3.1345287964887345,3.352889265725119
33,2.168130477,1.8958689,1.8660276,1.7916798302361474,2.192101,1.9329805210738935,2.0677952634266275
34,2.747252606,2.8884568,2.5446734,2.891283841549463,2.942254,3.028436734433553,2.7000086724170833
35,1.720504866,1.7922087,2.5084617,1.7682904448158734,1.7313372,2.0026734267937054,2.1855009162609345
36,1.442398919,1.5406297,1.958961,1.9816347521404674,1.4720544,1.8585455357496554,1.8409813949622758
37,2.832378699,2.7793856,2.606764,2.7451257513528393,2.8541389,2.9311622306889604,2.932746774986667
38,2.170394382,2.0468473,2.2946482,1.6955684578906598,2.2137465,1.9836187248477557,2.070291459040403
39,1.853160834,1.8391623,1.6955502,1.6784693605322867,1.8661295,1.838365437666875,1.7531021215108695
40,2.639232777,2.4200685,2.8249865,2.5678644288263945,2.6814399,2.7609811559188464,2.6962744824429694
