,true,AFP,GAT,MPNN,DNN,RF,SVR
0,2.957682227,3.11295,3.2074165,3.1944094603958195,3.0793076,3.034917821111678,3.0575695535092384
1,1.611626262,1.6009268,1.8790996,2.140256377787985,1.5809023,1.7495908108648481,1.7902530017238905
2,1.924011387,1.7219658,2.408802,2.2965170460809943,1.9643989,1.989276203215702,2.0243634732042577
3,2.532970595,2.346156,2.2236,2.6671929083939703,2.5808928,2.480632481466545,2.517381964728425
4,1.793378211,1.6865633,1.9081001,1.6985602918063545,1.6919526,1.7605453959907817,1.7427049856401222
5,2.406205105,2.4600914,2.3602257,2.5657294537781614,2.297678,2.4516314386744895,2.3066226253958124
6,2.116431258,2.0102093,2.7353115,2.7374143591212463,2.0463197,2.5132973199979682,2.6357610010510166
7,2.575524985,2.5126135,3.3223357,2.5220403836729965,2.4820993,2.6022271315581547,2.475226068042997
8,1.491494465,1.3107647,1.6118655,1.6051304123207988,1.4548213,1.5181642359339391,1.535971482705277
9,3.826645492,3.666081,3.297707,4.141404338438425,3.9966483,3.387755598087959,3.726848102163902
10,2.184927125,2.0496228,2.8180735,2.0792198801261397,1.8338064,2.0537832852537323,2.206250617779843
11,1.578885386,1.5145736,1.6646125,1.606733481153127,1.5404217,1.6438635595257074,1.6398900887628713
12,1.364006386,1.4099574,1.9732108,1.7223172986553519,1.3604672,1.642622458038404,1.4913436677788694
13,1.462881443,1.8173232,2.2564404,1.8891988999902138,1.4690101,1.8103561216404576,1.6601945517355532
14,2.924776487,2.9735146,2.790135,2.8593463490925792,2.8256512,2.917356780012227,2.824937871225951
15,2.158094799,2.1835282,1.461935,1.968523794470272,2.0259397,1.9253796379201222,1.7919182496871489
16,1.811674285,1.6780026,2.0461996,1.9112315425172186,1.8494142,2.0032240596826436,2.170033038085111
17,2.501247468,2.3964853,2.0759134,2.5009329202685224,2.5060234,2.246616826557951,2.400960908723441
18,3.051405371,2.6700132,3.1254337,3.3653311909559087,2.8984146,2.972323851750686,2.951444299232587
19,2.553995486,2.84641,2.3808665,2.2642844056474494,2.604338,2.119980431920653,1.8985107459432018
20,3.685079186,4.0073466,3.0278347,3.7497943377983782,3.494152,3.1881886893800604,3.585037967253085
21,2.264589774,2.21281,2.176137,2.080025000533259,2.2334905,2.2999344619217044,2.318554993111035
22,2.581464049,2.4421186,2.346941,2.618584892616073,2.345252,2.501881213396005,2.5406205088310094
23,2.550763973,2.592179,2.6505923,2.558264663928531,2.5140057,2.6068527351023443,2.650785728129461
24,2.444020336,2.1723185,2.1765082,2.786749297145846,2.5325093,2.441752096061059,2.544129157633076
25,3.752823103,3.926592,3.861397,3.6637139075117826,3.636642,3.6372607626656595,3.8526251760998207
